trt,bk,esc_sm_12,mr_sm_0,mr_sm_12,mr_sm_20,mr_sm_27
1,1,0.026,0.02,0.018,0.035,0.064
1,2,0.024,0.02,0.01,0.019,0.07
1,3,0.033,0.02,0.073,0.1,0.108
1,4,0.021,0.02,0.023,0.064,0.08
2,1,0.014,0.02,0.008,0.01,0.018
2,2,0.015,0.02,0.002,0.038,0.016
2,3,0.009,0.02,0.016,0,0.006
2,4,0.003,0.02,0.002,0.018,0.009
3,1,0.01,0.02,0.005,0,0.001
3,2,0.001,0.02,0.006,0.038,0.01
3,3,0.01,0.02,0.011,0,0.008
3,4,0.012,0.02,0.001,0.01,0.006
4,1,0.01,0.02,0.002,0.001,0.006
4,2,0.012,0.02,0.001,0,0.009
4,3,0.011,0.02,0.018,0.038,0.016
4,4,0.001,0.02,0.001,0.013,0.006
5,1,0.006,0.02,0.005,0.011,0.008
5,2,0.004,0.02,0.001,0.001,0.002
5,3,0.004,0.02,0,0.002,0.002
5,4,0.001,0.02,0.001,0.01,0.003
6,1,0.007,0.02,0.001,0,0.002
6,2,0.007,0.02,0.013,0.002,0.004
6,3,0.015,0.02,0.011,0.007,0.009
6,4,0.003,0.02,0.001,0.007,0.004
7,1,0.012,0.02,0.005,0,0.001
7,2,0.004,0.02,0.008,0.004,0.004
7,3,0.021,0.02,0.011,0,0.001
7,4,0.015,0.02,0.005,0.003,0.002
8,1,0.011,0.02,0.003,0,0.001
8,2,0.007,0.02,0.001,0,0.001
8,3,0.012,0.02,0.003,0.001,0.001
8,4,0.015,0.02,0,0.002,0.001
9,1,0.018,0.02,0.002,0.002,0.009
9,2,0.006,0.02,0.001,0.01,0.012
9,3,0.008,0.02,0.022,0.025,0.006
9,4,0.002,0.02,0.004,0.02,0.015
10,1,0.009,0.02,0.002,0.007,0.016
10,2,0.003,0.02,0.003,0.01,0.009
10,3,0.003,0.02,0.001,0.007,0.008
10,4,0.018,0.02,0.001,0.017,0.009
11,1,0.018,0.02,0,0.002,0.009
11,2,0.013,0.02,0.003,0.002,0.006
11,3,0.025,0.02,0.001,0.001,0.009
11,4,0.005,0.02,0.022,0.007,0.012
12,1,0.014,0.02,0.002,0.005,0.025
12,2,0.011,0.02,0.003,0.022,0.016
12,3,0.029,0.02,0.002,0.005,0.009
12,4,0.002,0.02,0.002,0.018,0.009
13,1,0.015,0.02,0.006,0.005,0.008
13,2,0.006,0.02,0.003,0.004,0.009
13,3,0.022,0.02,0.001,0.011,0.008
13,4,0.025,0.02,0,0.014,0.006
14,1,0.014,0.02,0.006,0,0.001
14,2,0.008,0.02,0.001,0.002,0.006
14,3,0.016,0.02,0.002,0.025,0.006
14,4,0.013,0.02,0.003,0.011,0.004
15,1,0.005,0.02,0.003,0.001,0.004
15,2,0.002,0.02,0.003,0.01,0.009
15,3,0.002,0.02,0.003,0,0.004
15,4,0.006,0.02,0.009,0.007,0.002
