trt,bk,inc_15,inc_58,inc_95,inc_146,inc_165,inc_180,inc_248
1,1,3,30,43,46,44,45,46
2,1,1,10,20,19,16,19,19
3,1,1,9,17,23,20,22,24
4,1,2,25,29,30,30,28,30
5,1,2,22,35,39,35,38,37
6,1,3,33,43,45,43,46,46
7,1,0,5,10,13,13,14,14
8,1,3,29,38,40,33,38,37
9,1,4,26,37,33,28,33,33
10,1,4,39,55,57,49,54,54
11,1,3,35,48,61,52,56,57
1,2,3,29,38,43,40,41,41
2,2,1,13,15,17,18,15,18
3,2,1,10,20,27,25,28,30
4,2,3,27,30,33,31,30,31
5,2,3,33,35,37,38,37,37
6,2,3,38,47,41,38,42,42
7,2,1,9,9,12,11,12,11
8,2,3,33,37,38,30,35,33
9,2,3,28,46,55,49,52,53
10,2,1,25,39,44,40,43,43
11,2,3,32,41,48,42,43,44
1,3,3,31,40,48,46,45,47
2,3,1,5,13,15,13,14,15
3,3,1,6,15,19,19,20,22
4,3,2,19,27,28,25,27,26
5,3,2,18,35,42,37,41,39
6,3,2,19,23,40,39,42,41
7,3,1,4,9,11,9,9,11
8,3,1,14,19,31,37,36,40
9,3,3,38,41,42,39,41,41
10,3,4,40,47,53,50,47,45
11,3,4,38,40,43,39,41,41
