trt,rep,dias,verdor,e1_sev,e2_sev
1,1,0,91,1,1
1,1,9,89,5,4
1,1,20,83,5,6
1,1,29,75,7,1
1,2,0,91,1,1
1,2,9,85,5,5
1,2,20,80,7,3
1,2,29,75,6,0
1,3,0,91,1,1
1,3,9,90,4,3
1,3,20,85,4,2
1,3,29,80,6,1
1,4,0,91,1,1
1,4,9,84,5,4
1,4,20,76,5,6
1,4,29,70,4,2
2,1,0,100,1,1
2,1,9,95,3,2
2,1,20,90,2,3
2,1,29,85,4,0
2,2,0,91,1,1
2,2,9,95,1,3
2,2,20,95,7,3
2,2,29,90,3,0
2,3,0,100,1,1
2,3,9,95,2,3
2,3,20,95,7,2
2,3,29,92,5,0
2,4,0,97,1,1
2,4,9,94,2,3
2,4,20,90,5,1
2,4,29,88,4,0
3,1,0,100,1,1
3,1,9,99,2,1
3,1,20,95,4,2
3,1,29,95,4,1
3,2,0,98,1,1
3,2,9,95,0,0
3,2,20,95,4,5
3,2,29,95,2,1
3,3,0,98,1,1
3,3,9,95,2,0
3,3,20,95,5,1
3,3,29,93,2,0
3,4,0,95,1,1
3,4,9,94,1,1
3,4,20,97,5,3
3,4,29,95,3,0
