fungicide,repetition,day,replicate,fruit,spots_per_fruit
Bellis,2,7,1,1,4
Bellis,2,7,1,2,0
Bellis,2,7,1,3,5
Bellis,2,7,1,4,2
Bellis,2,7,1,5,0
Bellis,2,7,2,1,0
Bellis,2,7,2,2,1
Bellis,2,7,2,3,3
Bellis,2,7,2,4,3
Bellis,2,7,2,5,1
Bellis,2,7,3,1,2
Bellis,2,7,3,2,0
Bellis,2,7,3,3,0
Bellis,2,7,3,4,1
Bellis,2,7,3,5,0
Bellis,2,7,4,1,3
Bellis,2,7,4,2,0
Bellis,2,7,4,3,5
Bellis,2,7,4,4,2
Bellis,2,7,4,5,0
Merpan,2,7,1,1,0
Merpan,2,7,1,2,0
Merpan,2,7,1,3,3
Merpan,2,7,1,4,2
Merpan,2,7,1,5,2
Merpan,2,7,2,1,1
Merpan,2,7,2,2,0
Merpan,2,7,2,3,2
Merpan,2,7,2,4,0
Merpan,2,7,2,5,1
Merpan,2,7,3,1,2
Merpan,2,7,3,2,4
Merpan,2,7,3,3,2
Merpan,2,7,3,4,6
Merpan,2,7,3,5,2
Merpan,2,7,4,1,7
Merpan,2,7,4,2,5
Merpan,2,7,4,3,5
Merpan,2,7,4,4,3
Merpan,2,7,4,5,0
Timorex,2,7,1,1,72
Timorex,2,7,1,2,67
Timorex,2,7,1,3,36
Timorex,2,7,1,4,48
Timorex,2,7,1,5,67
Timorex,2,7,2,1,52
Timorex,2,7,2,2,36
Timorex,2,7,2,3,70
Timorex,2,7,2,4,63
Timorex,2,7,2,5,67
Timorex,2,7,3,1,54
Timorex,2,7,3,2,37
Timorex,2,7,3,3,33
Timorex,2,7,3,4,55
Timorex,2,7,3,5,39
Timorex,2,7,4,1,38
Timorex,2,7,4,2,36
Timorex,2,7,4,3,90
Timorex,2,7,4,4,71
Timorex,2,7,4,5,92
Ziram,2,7,1,1,5
Ziram,2,7,1,2,0
Ziram,2,7,1,3,1
Ziram,2,7,1,4,0
Ziram,2,7,1,5,3
Ziram,2,7,2,1,6
Ziram,2,7,2,2,3
Ziram,2,7,2,3,1
Ziram,2,7,2,4,1
Ziram,2,7,2,5,0
Ziram,2,7,3,1,0
Ziram,2,7,3,2,1
Ziram,2,7,3,3,0
Ziram,2,7,3,4,1
Ziram,2,7,3,5,3
Ziram,2,7,4,1,0
Ziram,2,7,4,2,0
Ziram,2,7,4,3,1
Ziram,2,7,4,4,0
Ziram,2,7,4,5,1
control,2,7,1,1,95
control,2,7,1,2,74
control,2,7,1,3,73
control,2,7,1,4,59
control,2,7,1,5,102
control,2,7,2,1,83
control,2,7,2,2,106
control,2,7,2,3,89
control,2,7,2,4,97
control,2,7,2,5,73
control,2,7,3,1,76
control,2,7,3,2,83
control,2,7,3,3,62
control,2,7,3,4,57
control,2,7,3,5,83
control,2,7,4,1,45
control,2,7,4,2,63
control,2,7,4,3,68
control,2,7,4,4,73
control,2,7,4,5,59
